period,name,distance,flint,obsidian
PPNB,Kömürcü-Kaletepe,0,0,828
PPNB,Aşıklı Höyük,41,5,22000
PPNB,Musular,41,20,5000
PPNB,Hacıbeyli Höyük,75,1,121
PPNA,Hallan Çemi,119,2945,3748
PPNA,Çayönü,123,6899,413
PPNB,Çayönü,123,4541,4508
PPNA,Gusir Höyük,128,716,71
PPNA,Demirköy Höyük,143,7216,722
PPNB,Boytepe,144,51,848
PPNB,Can Hasan III,147,1823,69497
PPNB,Çatal Höyük,219,676,12161
PPNB,Tell Seker al-Aheimar,266,516,324
PPNB,Hayaz Höyük,308,4251,115
PPNB,Süberde,321,2993,26937
PPNB,Tell Sabi Abyad II,357,480,657
PPNB,Tell Damishiliyya I,359,248,20
PPNB,Mezraa Teleilat,373,1551,151
PPNB,Tell Ain el-Kerkh,376,9710,1654
PPNB,Tell Halula,392,2754,468
PPNB,Ras Shamra,408,19579,593
PPNB,Tell es-Sin,417,527,61
PPNB,Cheik Hassan,421,5000,35
PPNB,Bouqras,426,11316,2484
PPNA,Tell Mureybet,435,3679,4
PPNB,Tell Mureybet,435,2165,90
PPNB,Tell Qdeir 1,488,28805,80
PPNB,El Kowm,496,9668,244
PPNB,Labweh,549,1035,22
PPNA,Nachcharini,564,1196,1
PPNB,Ghoraife,634,24322,136
PPNB,Ramad,637,16422,149
PPNB,Tell Aswad,647,37751,254
PPNB,Beisamoun,694,4793,15
PPNB,Horvat Galil,715,8836,33
PPNB,Mujahiya,721,8311,17
PPNB,Yiftahel,750,126925,8
PPNA,Gesher,751,7293,1
PPNB,Munhata,751,14076,4
PPNB,Kfar HaHoresh,753,120170,7
PPNA,Iraq ed-Dubb,767,49000,1
PPNA,Huzuq Musa,799,2451,1
PPNA,Gilgal I,824,15000,1
PPNA,Netiv Hagdud,824,158568,30
PPNA,Salibiya IX,824,69583,1
PPNA,Jericho,836,17974,539
PPNB,Jericho,836,17467,91
PPNB,Abu Gosh,859,18422,8
PPNB,Motza,861,9152,432
PPNA,Hatoula,864,85993,1
PPNA,Ain Darat,886,19711,1
PPNA,Dhra’,899,64448,1
PPNA,Zahrat adh-Dhra’2,902,52895,4
PPNA,El-Hemmeh,925,5629,1
PPNA,Wadi Faynan 16,973,10865,1
PPNB,Nahal Lavan 109,983,10944,144
PPNB,Beidha,1004,44248,3
